latency,cdf
0.3700,3.596584539457949e-07
0.3810,1.6784061184137096e-06
0.3900,2.2778368749900343e-06
0.3910,2.9971537828816242e-06
0.4010,3.716470690773214e-06
0.4100,4.196015296034274e-06
0.4110,5.0352183552411285e-06
0.4210,5.634649111817454e-06
0.4310,5.874421414447984e-06
0.4810,6.114193717078514e-06
0.5210,6.353966019709044e-06
0.5610,6.713624473654838e-06
0.5810,6.833510624970104e-06
0.6010,6.953396776285368e-06
0.6210,7.073282927600634e-06
0.6220,7.193169078915898e-06
0.6310,7.313055230231164e-06
0.6710,7.432941381546428e-06
0.7120,7.552827532861693e-06
0.7810,7.792599835492223e-06
0.8320,8.032372138122754e-06
0.9210,8.392030592068548e-06
0.9420,8.511916743383814e-06
0.9620,8.751689046014343e-06
0.9920,8.991461348644873e-06
1.1220,9.590892105221197e-06
1.1620,9.830664407851728e-06
1.2120,9.950550559166993e-06
1.2130,1.0070436710482257e-05
1.2620,1.0669867467058582e-05
1.2930,1.0909639769689113e-05
1.3020,1.1029525921004377e-05
1.3120,1.1149412072319642e-05
1.3230,1.1269298223634908e-05
1.3530,1.1389184374950172e-05
1.3730,1.1748842828895968e-05
1.4220,1.1868728980211231e-05
1.4330,1.2108501282841762e-05
1.5030,1.2348273585472291e-05
1.5330,1.2588045888102822e-05
1.5430,1.2707932039418088e-05
1.6030,1.2827818190733351e-05
1.6130,1.2947704342048617e-05
1.6140,1.3067590493363882e-05
1.6330,1.3187476644679148e-05
1.7130,1.3906793552570737e-05
1.7630,1.4146565855201267e-05
1.7930,1.4266452006516531e-05
1.7940,1.4386338157831797e-05
1.8030,1.4506224309147062e-05
1.8230,1.4626110460462327e-05
1.8430,1.4745996611777591e-05
1.8730,1.4865882763092857e-05
1.8740,1.4985768914408122e-05
1.8930,1.5225541217038651e-05
1.8940,1.5345427368353915e-05
1.9040,1.5465313519669182e-05
1.9140,1.594485812493024e-05
1.9440,1.6064744276245507e-05
1.9540,1.618463042756077e-05
1.9630,1.6424402730191302e-05
1.9740,1.6544288881506565e-05
1.9840,1.6664175032821833e-05
2.0140,1.714371963808289e-05
2.0440,1.738349194071342e-05
2.0740,1.7982922697289747e-05
2.1040,1.8702239605181336e-05
2.1240,1.88221257564966e-05
2.1640,1.9661328815703456e-05
2.1740,2.0140873420964514e-05
2.1840,2.0860190328856107e-05
2.1940,2.1339734934117165e-05
2.2040,2.169939338806296e-05
2.2140,2.217893799332402e-05
2.2150,2.2298824144639285e-05
2.2240,2.265848259858508e-05
2.2440,2.3018141052530874e-05
2.2840,2.3257913355161405e-05
2.2940,2.337779950647667e-05
2.2950,2.36175718091072e-05
2.3140,2.3737457960422463e-05
2.3340,2.409711641436826e-05
2.3640,2.481643332225985e-05
2.3650,2.4936319473575114e-05
2.3940,2.5655636381466703e-05
2.4040,2.577552253278197e-05
2.4650,2.6854497894619353e-05
2.4750,2.7094270197249884e-05
2.4850,2.7334042499880415e-05
2.5050,2.769370095382621e-05
2.5150,2.8173245559087268e-05
2.5340,2.8532904013033062e-05
2.5350,2.865279016434833e-05
2.5740,2.937210707223992e-05
2.5750,2.9491993223555182e-05
2.5950,2.961187937487045e-05
2.6050,2.9731765526185713e-05
2.6150,2.9851651677500977e-05
2.6250,3.0091423980131508e-05
2.6550,3.0810740888023097e-05
2.6650,3.117039934196889e-05
2.6750,3.129028549328416e-05
2.6950,3.164994394722995e-05
2.7450,3.2129488552491014e-05
2.7650,3.236926085512154e-05
2.7750,3.2848805460382603e-05
2.7950,3.296869161169787e-05
2.7960,3.308857776301313e-05
2.8050,3.32084639143284e-05
2.8150,3.3328350065643665e-05
2.8160,3.368800851958946e-05
2.8250,3.380789467090472e-05
2.8460,3.428743927616578e-05
2.8550,3.440732542748105e-05
2.8650,3.476698388142684e-05
2.8850,3.500675618405737e-05
2.9150,3.5246528486687905e-05
2.9260,3.548630078931843e-05
2.9550,3.572607309194896e-05
2.9650,3.620561769721002e-05
3.0150,3.668516230247108e-05
3.0160,3.704482075641688e-05
3.0260,3.716470690773214e-05
3.0350,3.7284593059047405e-05
3.0450,3.76442515129932e-05
3.0550,3.8483454572200056e-05
3.0560,3.884311302614585e-05
3.0660,3.9202771480091645e-05
3.0750,3.932265763140691e-05
3.0850,3.956242993403744e-05
3.1160,4.0401632993244295e-05
3.1260,4.064140529587482e-05
3.1460,4.148060835508168e-05
3.1660,4.219992526297327e-05
3.1960,4.267946986823433e-05
3.2360,4.291924217086486e-05
3.2460,4.363855907875645e-05
3.2470,4.375844523007171e-05
3.2560,4.435787598664804e-05
3.2660,4.4957306743224364e-05
3.2670,4.519707904585489e-05
3.2760,4.5556737499800686e-05
3.2860,4.579650980243122e-05
3.2960,4.639594055900754e-05
3.3060,4.675559901295334e-05
3.3070,4.72351436182144e-05
3.3160,4.771468822347546e-05
3.3260,4.819423282873652e-05
3.3460,4.9273208190573905e-05
3.3470,4.951298049320443e-05
3.3560,4.987263894715023e-05
3.3570,5.011241124978076e-05
3.3660,5.0591955855041816e-05
3.3670,5.095161430898761e-05
3.3770,5.155104506556394e-05
3.3860,5.2030589670824994e-05
3.3960,5.2390248124770796e-05
3.3970,5.2510134276086056e-05
3.4060,5.3109565032662385e-05
3.4070,5.334933733529291e-05
3.4160,5.418854039449977e-05
3.4260,5.454819884844556e-05
3.4270,5.5027743453706625e-05
3.4360,5.550728805896768e-05
3.4470,5.64663772694898e-05
3.4670,5.790501108527298e-05
3.4760,5.838455569053404e-05
3.4770,5.874421414447984e-05
3.4870,5.958341720368669e-05
3.5060,6.162148177604619e-05
3.5160,6.29402294405141e-05
3.5170,6.377943249972096e-05
3.5260,6.449874940761255e-05
3.5270,6.497829401287362e-05
3.5360,6.569761092076521e-05
3.5370,6.665670013128733e-05
3.5470,6.797544779575524e-05
3.5560,6.857487855233156e-05
3.5570,6.965385391416895e-05
3.5670,7.049305697337581e-05
3.5760,7.061294312469106e-05
3.5860,7.193169078915899e-05
3.5960,7.32504384536269e-05
3.5970,7.492884457204061e-05
3.6070,7.624759223650852e-05
3.6160,7.708679529571538e-05
3.6260,7.876520141412909e-05
3.6270,8.0083949078597e-05
3.6360,8.056349368385806e-05
3.6370,8.188224134832598e-05
3.6460,8.200212749964123e-05
3.6470,8.356064746673968e-05
3.6570,8.475950897989234e-05
3.6770,8.943506888118767e-05
3.6860,8.955495503250294e-05
3.6970,9.387085647985247e-05
3.7070,9.68680102627341e-05
3.7170,9.89060748350936e-05
3.7270,0.00010274243167718208
3.7370,0.00010681856082190109
3.7470,0.00011041514536135904
3.7480,0.00011113446226925063
3.7570,0.00011521059141396964
3.7580,0.00011545036371660017
3.7670,0.00012084524052578709
3.7680,0.00012108501282841762
3.7770,0.00012504125582182135
3.7870,0.00013139522184153041
3.7880,0.0001324741972033678
3.7980,0.0001385883909204463
3.8070,0.0001444628123348943
3.8080,0.0001454219015454164
3.8170,0.00015081677835460333
3.8180,0.0001529747290782781
3.8270,0.00015789006128220397
3.8470,0.00017419457786108
3.8570,0.0001827064946044638
3.8580,0.00018498433147945385
3.8680,0.00019085875289390184
3.8770,0.00019661328815703455
3.8780,0.00019805192197281773
3.9070,0.0002201109738148265
3.9080,0.0002231081275977081
3.9170,0.00022850300440689503
3.9180,0.0002319797027950377
3.9270,0.00023749446575553992
3.9380,0.0002478046747686527
3.9470,0.0002522404623673175
3.9480,0.0002559569330580907
3.9570,0.00026039272065675554
3.9580,0.00026374953289358296
3.9670,0.0002677057758869867
3.9680,0.0002699836127619767
3.9780,0.00027705689568957733
3.9870,0.00027945461871588267
3.9880,0.0002812529109856116
3.9970,0.00028245177249876425
4.0070,0.00028616824318953747
4.0080,0.0002885659662158428
4.0170,0.00029048414463688703
4.0180,0.00029168300615003967
4.0270,0.0002933614122684534
4.0380,0.0002985165167750098
4.0470,0.0002994756059855319
4.0570,0.000302232987465783
4.0580,0.00030367162128156616
4.0670,0.0003042710520381425
4.0680,0.00030558979970261044
4.0770,0.000306309116610502
4.0780,0.0003079875227289157
4.0870,0.0003087068396368073
4.0880,0.00030990570114995995
4.0980,0.00031218353802495
4.1080,0.00031338239953810265
4.1170,0.00031362217184073316
4.1180,0.0003149409195052011
4.1280,0.0003167392117749301
4.1370,0.0003169789840775606
4.1380,0.0003187772763472896
4.1480,0.0003202159101630727
4.1570,0.0003204556824657033
4.1580,0.00032165454397885593
4.1670,0.00032189431628148644
4.1780,0.00032465169776173757
4.1870,0.0003248914700643681
4.1880,0.0003264499900314665
4.2080,0.0003288477130577718
4.2280,0.00033172498068933815
4.2480,0.0003341227037156435
4.2580,0.00033520167907748086
4.2680,0.0003367601990445793
4.2690,0.00033688008519589457
4.2780,0.00033795906055773193
4.2890,0.0003399971251300915
4.2980,0.00034131587279455936
4.3080,0.0003417954173998204
4.3090,0.000342035189702451
4.3290,0.0003438334819721799
4.3380,0.0003441931404261257
4.3580,0.00034551188809059364
4.3590,0.0003456317742419089
4.3690,0.00034659086345243106
4.3780,0.0003476698388142684
4.3790,0.0003480294972682142
4.3990,0.0003497079033866279
4.4080,0.0003500675618405737
4.4280,0.000351985740261618
4.4290,0.0003521056264129332
4.4380,0.0003525851710181943
4.4390,0.00035270505716950956
4.4480,0.0003531846017747706
4.4490,0.0003536641463800317
4.4690,0.00035546243864976063
4.4880,0.0003576203893734354
4.4890,0.00035821982013001176
4.4980,0.0003586993647352728
4.4990,0.00035893913703790334
4.5080,0.0003598982262484254
4.5090,0.00036061754315631705
4.5180,0.00036121697391289334
4.5190,0.00036265560772867655
4.5290,0.0003640942415444597
4.5390,0.00036637207841944976
4.5480,0.0003676908260839177
4.5590,0.0003710476383207451
4.5680,0.0003721266136825825
4.5690,0.00037296581674178933
4.5780,0.0003736851336496809
4.5790,0.00037524365361677934
4.5880,0.0003758430843733557
4.5890,0.00037668228743256254
4.6090,0.0003793197827614984
4.6280,0.00038051864427465104
4.6290,0.0003814777334851731
4.6380,0.0003817175057878037
4.6390,0.00038183739193911896
4.6490,0.0003826765949983258
4.6580,0.0003832760257549021
4.6590,0.00038411522881410897
4.6680,0.00038423511496542425
4.6690,0.0003850743180246311
4.6790,0.0003854339764785769
4.6990,0.00038687261029436004
4.7090,0.0003873521548996211
4.7190,0.0003875919272022517
4.7290,0.0003880714718075127
4.7390,0.00038843113026145853
4.7480,0.00038855101641277376
4.7590,0.0003897498779259264
4.8000,0.0003932265763140691
4.8190,0.00039442543782722175
4.8390,0.0003953845270377439
4.8490,0.00039586407164300495
