latency,cdf
0.3300,2.3916230055956803e-07
0.3500,1.6143455287770843e-06
0.3510,2.5709947310153564e-06
0.3600,2.6905758812951404e-06
0.3610,3.5874345083935205e-06
0.3700,4.125549684652548e-06
0.3900,6.098638664268985e-06
0.3910,6.337800964828553e-06
0.4010,6.935706716227473e-06
0.4110,7.354240742206717e-06
0.4200,7.414031317346609e-06
0.4210,7.593403042766285e-06
0.4310,7.77277476818596e-06
0.4610,8.191308794165205e-06
0.4710,8.370680519584882e-06
0.4910,8.609842820144449e-06
0.5210,8.669633395284341e-06
0.5410,8.729423970424234e-06
0.5610,8.789214545564125e-06
0.6310,8.849005120704018e-06
0.6510,8.968586270983801e-06
0.6710,9.028376846123694e-06
0.6810,9.088167421263585e-06
0.7010,9.147957996403477e-06
0.7120,9.20774857154337e-06
0.7410,9.267539146683261e-06
0.7610,9.327329721823154e-06
0.8220,9.56649202238272e-06
0.9220,9.745863747802397e-06
0.9520,9.80565432294229e-06
0.9920,9.865444898082182e-06
1.0020,9.925235473222073e-06
1.0320,9.985026048361966e-06
1.1020,1.0283978924061425e-05
1.1120,1.0343769499201318e-05
1.1330,1.0403560074341209e-05
1.1430,1.0463350649481102e-05
1.1520,1.0523141224620994e-05
1.1720,1.0642722374900778e-05
1.1820,1.0762303525180561e-05
1.1930,1.0822094100320454e-05
1.2420,1.100146582574013e-05
1.2530,1.1121046976019914e-05
1.2620,1.1180837551159806e-05
1.2730,1.1240628126299697e-05
1.3120,1.1479790426859266e-05
1.3330,1.1659162152278942e-05
1.3430,1.1718952727418833e-05
1.3930,1.1838533877698617e-05
1.4030,1.189832445283851e-05
1.4320,1.2077696178258186e-05
1.4420,1.2137486753398078e-05
1.4520,1.2436439629097538e-05
1.4620,1.2556020779377322e-05
1.4830,1.2735392504796998e-05
1.4920,1.279518307993689e-05
1.4930,1.2914764230216674e-05
1.5020,1.2974554805356567e-05
1.5220,1.3213717105916134e-05
1.5330,1.3333298256195917e-05
1.5430,1.3452879406475703e-05
1.5830,1.3811622857315053e-05
1.5930,1.3931204007594839e-05
1.6230,1.4170366308154406e-05
1.6630,1.4349738033574082e-05
1.6730,1.4409528608713975e-05
