latency,cdf
0.3410,6.016427252971514e-08
0.3500,1.804928175891454e-07
0.3610,6.618069978268665e-07
0.3700,1.383778268183448e-06
0.3800,3.248870716604617e-06
0.3900,6.257084343090374e-06
0.3910,8.302669609100689e-06
0.4000,9.26529796957613e-06
0.4010,1.149137605317559e-05
0.4110,1.2694661503769893e-05
0.4200,1.2814990048829323e-05
0.4210,1.3296304229067044e-05
0.4310,1.4198768317012771e-05
0.4410,1.4559753952191063e-05
0.4610,1.4920739587369354e-05
0.5110,1.6124025037963656e-05
0.5410,1.6364682128082515e-05
0.5710,1.6665503490731092e-05
0.6410,1.7567967578676818e-05
0.6610,1.7748460396265965e-05
0.6810,1.792895321385511e-05
0.7010,1.8229774576503687e-05
0.7210,1.8350103121563116e-05
0.7220,1.841026739409283e-05
0.7410,1.865092448421169e-05
0.7510,1.8711088756741405e-05
0.7610,1.8951745846860268e-05
0.7620,1.9011910119389982e-05
0.7710,1.9072074391919697e-05
0.8720,2.015503129745457e-05
0.8820,2.0275359842514e-05
0.8920,2.0516016932632862e-05
0.9820,2.1177823930459728e-05
1.0620,2.1959959473346024e-05
1.0820,2.22607808359946e-05
1.0920,2.250143792611346e-05
1.1020,2.2561602198643175e-05
1.1230,2.2862423561291752e-05
1.1420,2.310308065141061e-05
1.1630,2.3283573468999756e-05
1.1930,2.3704723376707762e-05
1.2020,2.3764887649237477e-05
1.2230,2.4065709011886054e-05
1.2320,2.42462018294752e-05
1.2420,2.4306366102004914e-05
1.3230,2.5268994462480357e-05
1.3320,2.532915873501007e-05
1.3420,2.556981582512893e-05
1.3430,2.5690144370188364e-05
1.3720,2.6171458550426082e-05
1.3920,2.647227991307466e-05
1.4430,2.731457972849067e-05
1.4520,2.7374744001020388e-05
1.4720,2.779589390872839e-05
1.4930,2.8638193724144405e-05
1.5230,2.9841479174738707e-05
1.5330,3.002197199232785e-05
1.5420,3.0082136264857566e-05
1.5720,3.074394326268443e-05
1.5730,3.080410753521415e-05
1.5930,3.128542171545187e-05
1.6030,3.1465914533041017e-05
1.6130,3.200739298580845e-05
1.6230,3.230821434845703e-05
1.6330,3.254887143857589e-05
1.6540,3.290985707375418e-05
1.6740,3.3210678436402755e-05
1.6830,3.327084270893247e-05
1.6930,3.3391171253991896e-05
1.7130,3.3691992616640474e-05
1.7240,3.399281397928905e-05
1.7330,3.411314252434848e-05
1.7340,3.435379961446734e-05
1.7530,3.465462097711592e-05
1.7540,3.4774949522175346e-05
1.7830,3.525626370241307e-05
1.7840,3.53765922474725e-05
1.8040,3.603839924529937e-05
1.8130,3.6158727790358797e-05
1.8140,3.6399384880477656e-05
1.8240,3.6519713425537085e-05
1.8430,3.670020624312623e-05
1.8540,3.700102760577481e-05
1.8640,3.718152042336395e-05
1.8830,3.772299887613139e-05
1.8930,3.796365596625025e-05
1.9230,3.874579150913655e-05
1.9240,3.886612005419598e-05
1.9440,3.9287269961903985e-05
1.9640,3.988891268720113e-05
1.9840,4.031006259490914e-05
2.0030,4.0550719685028e-05
2.0240,4.1212526682854865e-05
2.0530,4.17540051356223e-05
2.0540,4.205482649827088e-05
2.0640,4.229548358838974e-05
2.1140,4.3980083219221765e-05
2.1340,4.482238303463777e-05
2.1540,4.512320439728635e-05
2.1740,4.5785011395113216e-05
2.2540,4.746961102594524e-05
2.2640,4.77102681160641e-05
2.2740,4.801108947871268e-05
2.2840,4.819158229630182e-05
2.3050,4.873306074906926e-05
2.3140,4.9033882111717834e-05
2.3340,4.951519629195555e-05
2.3450,4.975585338207442e-05
2.3540,4.981601765460413e-05
2.3550,4.987618192713385e-05
2.3940,5.065831747002014e-05
2.4050,5.083881028760929e-05
2.4140,5.0898974560139e-05
2.4250,5.119979592278758e-05
2.4350,5.138028874037673e-05
2.4440,5.156078155796587e-05
2.4550,5.180143864808473e-05
2.4650,5.2102260010733305e-05
2.4950,5.252340991844131e-05
2.5140,5.282423128108989e-05
2.5150,5.294455982614932e-05
2.5350,5.318521691626818e-05
2.5540,5.342587400638704e-05
2.5650,5.390718818662476e-05
2.5850,5.438850236686248e-05
2.6040,5.480965227457049e-05
2.6550,5.619343054275394e-05
2.6660,5.6313759087813367e-05
2.6750,5.6734908995521373e-05
2.6960,5.739671599334824e-05
2.7150,5.775770162852653e-05
2.7350,5.799835871864539e-05
2.7750,5.902115135165055e-05
2.7850,5.932197271429912e-05
2.7860,5.9442301259358555e-05
2.8050,5.9923615439596274e-05
2.8260,6.046509389236371e-05
2.8350,6.052525816489343e-05
2.8660,6.166837934295801e-05
2.8750,6.184887216054716e-05
2.9250,6.293182906608203e-05
2.9260,6.305215761114146e-05
2.9350,6.317248615620089e-05
2.9460,6.365380033643861e-05
2.9560,6.395462169908718e-05
3.0050,6.533839996727064e-05
3.0360,6.654168541786493e-05
3.0560,6.75644780508701e-05
3.0660,6.822628504869696e-05
3.0750,6.840677786628611e-05
3.0850,6.888809204652383e-05
3.0950,6.942957049929127e-05
3.0960,6.967022758941013e-05
3.1050,6.979055613446955e-05
3.1170,7.021170604217756e-05
3.1260,7.081334876747471e-05
3.1450,7.135482722024214e-05
3.1460,7.159548431036102e-05
3.1560,7.177597712795015e-05
3.1650,7.189630567300959e-05
3.1960,7.388172666649018e-05
3.2460,7.610780475008964e-05
3.2470,7.616796902261937e-05
3.2560,7.676961174791651e-05
3.2570,7.688994029297594e-05
3.2660,7.719076165562451e-05
3.2760,7.743141874574337e-05
3.2860,7.785256865345138e-05
3.2960,7.863470419633768e-05
3.3060,7.941683973922397e-05
3.3270,8.14624250052343e-05
3.3360,8.236488909318002e-05
3.3370,8.254538191076917e-05
3.3460,8.320718890859603e-05
3.3470,8.344784599871489e-05
3.3660,8.513244562954692e-05
3.3670,8.54934312647252e-05
3.3960,8.796016643844353e-05
3.4170,9.036673733963214e-05
3.4660,9.536037195959849e-05
3.4970,9.860924267620311e-05
3.5360,0.00010360287729616946
3.5370,0.0001045655056566449
3.5470,0.00010582895537976893
3.5560,0.00010625010528747693
3.5660,0.00010727289792048208
3.5770,0.00010979979736673012
3.5960,0.00011244702535803759
3.6060,0.00011377063935369132
3.6070,0.00011515441762187476
3.6160,0.00011533491043946391
3.6570,0.00012351725150350516
3.6760,0.00012616447949481262
3.6770,0.00012790924339817436
3.6960,0.0001303759785718927
3.7070,0.00013536961319185906
3.7180,0.00013735503418533965
3.7260,0.00013759569127545852
3.7380,0.0001439129398910786
3.7560,0.00014764312478792095
3.7770,0.00016015729347410167
3.7860,0.00016093942901698798
3.7880,0.00016635421354466235
3.8180,0.0001860880949344089
3.8270,0.00019102156528184554
3.8360,0.00019240534355002899
3.8670,0.00021598973838167734
3.8770,0.00022122403009176256
3.8880,0.00022862423561291752
3.8980,0.00023488131995600789
3.9170,0.0002472149958245995
3.9180,0.00024998255236096637
3.9280,0.0002555176654337002
3.9380,0.00026267721386473626
3.9680,0.0002810273169862994
3.9770,0.0002846371733380823
3.9870,0.0002887885081426326
3.9980,0.0002945642783054853
4.0070,0.0002965496992989659
4.0170,0.00029949774865292196
4.0380,0.0003073792683543146
4.0680,0.0003147794738754696
4.0780,0.0003164640735063016
4.1070,0.0003204950797657925
4.1170,0.0003224203364867434
4.1180,0.0003238041147549268
4.1270,0.00032428542893516457
4.1370,0.00032572937147587775
4.1380,0.0003274139711067098
4.1580,0.0003320466200914978
4.1670,0.00033252793427173555
4.1780,0.0003358971335333996
4.1870,0.0003361979548960482
4.1980,0.00033902567570494476
4.2070,0.0003392061685225339
4.2090,0.0003407704396083065
4.2180,0.00034245503923913855
4.2190,0.00034251520351166823
4.2290,0.00034450062450514885
4.2480,0.0003470876882239266
4.2490,0.00034720801676898605
4.2580,0.00034865195930969923
4.2770,0.0003502763946680015
