latency,cdf
491.7160,0.0009765625
491.7400,0.001953125
491.9690,0.0029296875
492.1040,0.00390625
492.2010,0.0048828125
492.2230,0.005859375
492.5510,0.0068359375
492.6690,0.0078125
492.8880,0.0087890625
492.8890,0.009765625
492.8920,0.0107421875
493.1050,0.01171875
493.1330,0.0126953125
493.1730,0.013671875
493.1910,0.0146484375
493.2400,0.015625
493.2730,0.0166015625
493.3380,0.017578125
493.4880,0.0185546875
493.5210,0.01953125
493.6940,0.0205078125
493.7250,0.021484375
493.7550,0.0224609375
493.8260,0.0234375
493.8610,0.025390625
493.8670,0.0263671875
493.8710,0.02734375
493.8760,0.0283203125
493.8830,0.029296875
493.9220,0.0302734375
493.9450,0.03125
493.9520,0.0322265625
493.9590,0.033203125
493.9650,0.0341796875
493.9840,0.03515625
493.9870,0.0361328125
494.0570,0.037109375
494.0610,0.0380859375
494.0680,0.0390625
494.0800,0.0400390625
494.0890,0.041015625
494.1080,0.0419921875
494.1130,0.04296875
494.1210,0.0439453125
494.1570,0.044921875
494.1870,0.0458984375
494.1970,0.046875
494.2090,0.0478515625
494.2250,0.048828125
494.2510,0.0498046875
494.2590,0.05078125
494.2600,0.0517578125
494.2650,0.052734375
494.2890,0.0537109375
494.2930,0.0546875
494.2940,0.0556640625
494.3460,0.056640625
494.3570,0.0576171875
494.3800,0.05859375
494.3940,0.0595703125
494.3980,0.0615234375
494.3990,0.0625
494.4170,0.0634765625
494.4320,0.064453125
494.4390,0.0654296875
494.4400,0.06640625
494.4530,0.0673828125
494.4600,0.068359375
494.4650,0.0693359375
494.4660,0.0703125
494.4780,0.0712890625
494.4920,0.072265625
494.5170,0.0732421875
494.5200,0.07421875
494.5210,0.0751953125
494.5370,0.076171875
494.5470,0.0771484375
494.5590,0.078125
494.5600,0.0791015625
494.5680,0.080078125
494.5890,0.0810546875
494.6010,0.08203125
494.6150,0.0830078125
494.6170,0.083984375
494.6300,0.0849609375
494.6330,0.0859375
494.6520,0.0869140625
494.6710,0.087890625
494.6840,0.0888671875
494.6880,0.08984375
494.6900,0.091796875
494.7060,0.0927734375
494.7080,0.09375
494.7110,0.0947265625
494.7120,0.095703125
494.7180,0.0966796875
494.7230,0.09765625
494.7240,0.0986328125
494.7290,0.099609375
494.7360,0.1005859375
494.7370,0.1015625
494.7430,0.1025390625
494.7490,0.103515625
494.7520,0.10546875
494.7640,0.107421875
494.7700,0.1083984375
494.7820,0.109375
494.7860,0.111328125
494.7940,0.1123046875
494.7960,0.11328125
494.7990,0.1142578125
494.8070,0.115234375
494.8140,0.1162109375
494.8150,0.1171875
494.8160,0.1181640625
494.8310,0.119140625
494.8330,0.1201171875
494.8340,0.12109375
494.8350,0.1220703125
494.8530,0.123046875
494.8570,0.1240234375
494.8630,0.125
494.8660,0.1259765625
494.8820,0.126953125
494.8840,0.1279296875
494.8880,0.12890625
494.8910,0.1298828125
494.9050,0.130859375
494.9190,0.1318359375
494.9350,0.1328125
494.9400,0.1337890625
494.9440,0.134765625
494.9450,0.1357421875
494.9560,0.13671875
494.9590,0.1376953125
494.9650,0.138671875
494.9760,0.1396484375
494.9780,0.140625
494.9790,0.1416015625
494.9880,0.142578125
494.9990,0.1435546875
495.0030,0.14453125
495.0080,0.1455078125
495.0120,0.146484375
495.0140,0.1474609375
495.0210,0.1484375
495.0290,0.1494140625
495.0520,0.150390625
495.0560,0.1513671875
495.0580,0.15234375
495.0620,0.1533203125
495.0640,0.154296875
495.0660,0.1552734375
495.0760,0.1572265625
495.0780,0.158203125
495.0810,0.1591796875
495.0900,0.16015625
495.1150,0.1611328125
495.1210,0.162109375
495.1220,0.1630859375
495.1340,0.1640625
495.1450,0.1650390625
495.1520,0.166015625
495.1630,0.1669921875
495.1660,0.16796875
495.1770,0.1689453125
495.1880,0.169921875
495.1920,0.1708984375
495.1940,0.171875
495.1950,0.173828125
495.2050,0.1748046875
495.2140,0.17578125
495.2190,0.1767578125
495.2220,0.1787109375
495.2250,0.1796875
495.2330,0.1806640625
495.2370,0.181640625
495.2380,0.1826171875
495.2560,0.18359375
495.2650,0.1845703125
495.2680,0.185546875
495.2740,0.1865234375
495.2840,0.1875
495.2860,0.1884765625
495.2890,0.189453125
495.3000,0.1904296875
495.3080,0.19140625
495.3130,0.193359375
495.3150,0.1943359375
495.3270,0.1953125
495.3340,0.1962890625
495.3550,0.1982421875
495.3610,0.19921875
495.3760,0.2001953125
495.3780,0.201171875
495.3840,0.2021484375
495.3970,0.203125
495.3990,0.2041015625
495.4100,0.205078125
495.4120,0.2060546875
495.4150,0.20703125
495.4170,0.2080078125
495.4240,0.208984375
495.4280,0.2099609375
495.4290,0.2109375
495.4310,0.2119140625
495.4360,0.212890625
495.4400,0.2138671875
495.4450,0.21484375
495.4510,0.216796875
495.4540,0.2177734375
495.4630,0.21875
495.4650,0.2197265625
495.4710,0.220703125
495.4740,0.2216796875
495.4760,0.22265625
495.4820,0.2236328125
