latency,cdf
450.0850,0.0009765625
452.1280,0.001953125
452.3250,0.0029296875
464.6250,0.00390625
467.3170,0.0048828125
467.4510,0.005859375
467.5130,0.0068359375
467.5540,0.0078125
468.4790,0.0087890625
469.2820,0.009765625
470.0250,0.0107421875
470.6360,0.01171875
470.6940,0.0126953125
471.4700,0.013671875
471.6570,0.0146484375
472.0830,0.015625
472.3360,0.0166015625
473.2130,0.017578125
474.7380,0.0185546875
478.9540,0.01953125
479.3970,0.0205078125
479.8190,0.021484375
480.0740,0.0224609375
480.1740,0.0234375
480.2630,0.0244140625
480.2830,0.025390625
480.3050,0.0263671875
480.3560,0.02734375
480.4650,0.0283203125
480.4940,0.029296875
480.5230,0.0302734375
480.5330,0.03125
480.5570,0.0322265625
480.5820,0.033203125
480.6080,0.0341796875
480.6540,0.03515625
480.6630,0.0361328125
480.7040,0.037109375
480.7230,0.0380859375
480.7360,0.0390625
480.7740,0.0400390625
480.7870,0.041015625
480.8030,0.0419921875
480.8650,0.04296875
480.8660,0.0439453125
480.8880,0.044921875
480.9450,0.0458984375
480.9530,0.046875
480.9890,0.0478515625
480.9960,0.048828125
481.0160,0.0498046875
481.0230,0.05078125
481.0250,0.0517578125
481.0270,0.052734375
481.1050,0.0537109375
481.1160,0.0546875
481.1170,0.0556640625
481.1210,0.056640625
481.1670,0.0576171875
481.1680,0.05859375
481.1770,0.0595703125
481.1840,0.060546875
481.2070,0.0615234375
481.2250,0.0625
481.2390,0.0634765625
481.2440,0.064453125
481.2500,0.0654296875
481.2760,0.06640625
481.2810,0.0673828125
481.2850,0.068359375
481.2900,0.0693359375
481.2920,0.0703125
481.2980,0.0712890625
481.3550,0.072265625
481.3700,0.0732421875
481.3720,0.0751953125
481.3830,0.076171875
481.3930,0.0771484375
481.4000,0.078125
481.4030,0.0791015625
481.4190,0.080078125
481.4310,0.0810546875
481.4340,0.08203125
481.4500,0.0830078125
481.4510,0.0849609375
481.4970,0.0859375
481.5020,0.0869140625
481.5450,0.087890625
481.5630,0.0888671875
481.5690,0.0908203125
481.5720,0.091796875
481.5760,0.0927734375
481.5820,0.09375
481.5900,0.0947265625
481.6110,0.095703125
481.6240,0.0966796875
481.6250,0.09765625
481.6380,0.0986328125
481.6430,0.099609375
481.6840,0.1005859375
481.7070,0.1015625
481.7100,0.1025390625
481.7220,0.103515625
481.7300,0.1044921875
481.7520,0.10546875
481.7570,0.1064453125
481.7650,0.107421875
481.7790,0.1083984375
481.7800,0.109375
481.8000,0.1103515625
481.8020,0.111328125
481.8060,0.1123046875
481.8180,0.11328125
481.8230,0.1142578125
481.8280,0.115234375
481.8300,0.1162109375
481.8400,0.1171875
481.8440,0.1181640625
481.8500,0.119140625
481.8510,0.1201171875
481.8520,0.12109375
481.8660,0.1220703125
481.8770,0.123046875
481.8800,0.1240234375
481.8830,0.125
481.8920,0.1259765625
481.9030,0.1279296875
481.9040,0.12890625
481.9140,0.1298828125
481.9170,0.130859375
481.9210,0.1318359375
481.9320,0.1328125
481.9510,0.1337890625
481.9760,0.1357421875
482.0050,0.13671875
482.0100,0.1376953125
482.0170,0.138671875
482.0230,0.1396484375
482.0250,0.140625
482.0270,0.1416015625
482.0380,0.142578125
482.0430,0.1435546875
482.0440,0.14453125
482.0710,0.1455078125
482.0790,0.146484375
482.0970,0.1474609375
482.1010,0.1484375
482.1080,0.1494140625
482.1090,0.150390625
482.1100,0.1513671875
482.1180,0.1533203125
482.1210,0.154296875
482.1230,0.1552734375
482.1250,0.15625
482.1270,0.1572265625
482.1310,0.158203125
482.1320,0.1591796875
482.1370,0.16015625
482.1830,0.1611328125
482.1930,0.162109375
482.1970,0.1630859375
482.2020,0.1640625
482.2140,0.1650390625
482.2150,0.166015625
482.2160,0.1669921875
482.2240,0.16796875
482.2270,0.1689453125
482.2380,0.169921875
482.2410,0.1708984375
482.2450,0.171875
482.2690,0.173828125
482.2710,0.1748046875
482.2830,0.1767578125
482.2920,0.177734375
482.2930,0.1787109375
482.3100,0.1796875
482.3300,0.1806640625
482.3440,0.181640625
482.3520,0.1826171875
482.3560,0.18359375
482.3760,0.1845703125
482.3980,0.185546875
482.4180,0.1865234375
482.4200,0.1875
482.4290,0.1884765625
482.4330,0.189453125
482.4390,0.1904296875
482.4410,0.19140625
482.4510,0.1923828125
482.4850,0.193359375
482.4940,0.1943359375
482.4980,0.1962890625
482.5130,0.197265625
482.5280,0.1982421875
482.5320,0.19921875
482.5460,0.2001953125
482.5470,0.201171875
482.5490,0.2021484375
482.5760,0.203125
482.5780,0.2041015625
482.5800,0.205078125
482.5830,0.2060546875
482.6080,0.20703125
482.6160,0.2080078125
482.6180,0.208984375
482.6260,0.2099609375
482.6300,0.2109375
482.6380,0.2119140625
482.6420,0.212890625
482.6520,0.2138671875
482.6560,0.2158203125
482.6570,0.216796875
482.6700,0.2177734375
482.6730,0.21875
482.6770,0.2197265625
482.6790,0.220703125
482.6820,0.2216796875
482.6840,0.22265625
482.6900,0.224609375
482.6940,0.2255859375
482.6960,0.2265625
482.6970,0.2275390625
482.7060,0.228515625
482.7140,0.2294921875
482.7210,0.2314453125
482.7240,0.232421875
482.7260,0.2333984375
482.7330,0.234375
482.7350,0.2353515625
482.7510,0.236328125
482.7580,0.2373046875
482.7600,0.23828125
482.7700,0.240234375
482.7740,0.2412109375
482.7750,0.2421875
482.7790,0.2431640625
482.7800,0.244140625
482.7830,0.2451171875
482.7960,0.2470703125
482.8170,0.248046875
482.8190,0.2490234375
482.8210,0.251953125
482.8250,0.2529296875
482.8290,0.25390625
482.8390,0.2548828125
482.8400,0.255859375
482.8430,0.2578125
482.8640,0.2587890625
482.8660,0.259765625
482.8680,0.2607421875
482.8780,0.26171875
482.8810,0.2626953125
482.8830,0.263671875
482.8850,0.2646484375
482.8900,0.265625
482.8920,0.2666015625
482.8940,0.267578125
482.9000,0.2685546875
482.9020,0.26953125
482.9050,0.2705078125
482.9150,0.271484375
482.9250,0.2724609375
482.9360,0.2734375
482.9450,0.2744140625
482.9590,0.275390625
482.9620,0.2763671875
482.9670,0.2783203125
482.9770,0.279296875
482.9830,0.28125
482.9940,0.2822265625
482.9970,0.283203125
483.0000,0.2841796875
483.0020,0.28515625
483.0130,0.287109375
483.0200,0.2880859375
483.0240,0.2890625
483.0260,0.2900390625
483.0320,0.291015625
483.0330,0.2919921875
483.0480,0.2939453125
483.0590,0.2958984375
483.0900,0.296875
483.0960,0.2978515625
483.1040,0.298828125
483.1180,0.2998046875
483.1200,0.30078125
